case,patch_id,stratum,x0,y0,x1,y1,error_type,structure_preserved,new_object,plant_morphology,confidence,notes,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200,dpsnr_h50,dpsnr_h200,dssim_h50,dssim_h200,dlpips_h50,dlpips_h200
case4,high07,high,3840,1792,4096,2048,A,N,N,different,2,smaller serrated leaves vs GT compound + yellow rachis,17.522479,17.527968,16.268071,0.261301,0.261178,0.182112,0.834890,0.704062,0.472390,0.005489,-1.254408,-0.000123,-0.079189,-0.130828,-0.362500
case4,high08,high,2560,2048,2816,2304,A,N,N,different,3,yellow bar interpreted as stem; GT is flower raceme + lanterns,16.304576,16.314941,15.165686,0.209340,0.208770,0.187488,0.814992,0.752976,0.617637,0.010365,-1.138890,-0.000570,-0.021852,-0.062016,-0.197355
case3,low01,low,768,0,1024,256,C,Y,N,n/a,3,flat water/sky; H200 adds grain GT does not have,47.284836,42.700258,34.384998,0.990042,0.974754,0.787319,0.051786,0.123014,0.490262,-4.584578,-12.899838,-0.015288,-0.202723,0.071228,0.438476
case3,low02,low,1536,256,1792,512,C,Y,N,n/a,3,flat water; H200 invents ripple grain,46.641469,42.148443,34.484721,0.988699,0.974472,0.845169,0.054157,0.119388,0.449032,-4.493026,-12.156748,-0.014227,-0.143530,0.065231,0.394875
case3,low03,low,3840,768,4096,1024,C,Y,N,n/a,2,flat region grain overlay,46.246531,43.105876,38.865287,0.988114,0.975930,0.923702,0.068399,0.116740,0.358027,-3.140655,-7.381244,-0.012184,-0.064412,0.048341,0.289628
case3,low04,low,3072,1280,3328,1536,C,Y,N,n/a,2,over-sharpened distant blob; GT stays blurry,46.901426,42.025310,35.415438,0.990364,0.976790,0.906758,0.034213,0.090988,0.342777,-4.876116,-11.485988,-0.013574,-0.083606,0.056775,0.308564
case3,mid01,mid,0,0,256,256,C,Y,N,n/a,2,smooth field; H200 adds grain,44.918550,42.211677,39.735842,0.979650,0.965499,0.927615,0.155036,0.176492,0.324365,-2.706873,-5.182708,-0.014151,-0.052035,0.021456,0.169329
case3,mid02,mid,512,512,768,768,C,Y,N,n/a,3,invented strong mud texture,45.414703,39.694902,31.507242,0.984778,0.966248,0.789745,0.105964,0.149020,0.487634,-5.719801,-13.907461,-0.018530,-0.195033,0.043056,0.381670
case3,mid03,mid,3328,1792,3584,2048,C,Y,N,n/a,2,"plausible sharper ripples, not GT wave field",42.729335,40.317057,32.894338,0.979473,0.963040,0.869314,0.056453,0.086618,0.373482,-2.412278,-9.834997,-0.016433,-0.110159,0.030165,0.317029
case3,mid04,mid,256,2048,512,2304,C,Y,N,n/a,2,water texture resampled,39.537453,37.893649,31.725022,0.962892,0.947462,0.875369,0.099111,0.109923,0.216495,-1.643804,-7.812431,-0.015430,-0.087523,0.010812,0.117384
case3,high01,high,768,1792,1024,2048,B,Y,N,same,2,dark feather/wingtip contours kept; micro contrast/edge differ,35.202028,34.017939,27.739020,0.948935,0.937970,0.874041,0.093980,0.098344,0.219464,-1.184089,-7.463008,-0.010965,-0.074894,0.004364,0.125484
case3,high02,high,512,2304,768,2560,C,Y,N,n/a,2,"water waves plausible, geometry not GT",31.793969,31.334803,26.902393,0.830674,0.816071,0.686386,0.314042,0.281990,0.372501,-0.459166,-4.891576,-0.014603,-0.144288,-0.032052,0.058459
case3,high03,high,2048,2304,2304,2560,B,Y,N,same,3,leg identity kept; joint over-sharpened/darkened,30.117437,30.215319,25.965503,0.900429,0.895755,0.821298,0.181009,0.139359,0.183650,0.097882,-4.151934,-0.004674,-0.079131,-0.041650,0.002641
case3,high04,high,512,2816,768,3072,C,Y,N,n/a,2,"mud/water ripples sharpened, not matching GT",36.842219,36.065510,29.289626,0.938218,0.925313,0.799787,0.172758,0.163844,0.358569,-0.776709,-7.552593,-0.012905,-0.138431,-0.008914,0.185811
